Ticker,Price,Change_%,SMA_20,SMA_50,RSI,MACD,BB_Upper,BB_Lower,VWAP,Volume,Volume_Avg_20,52W_High,52W_Low,Signal_Count,Signals,Scan_Time
ULTA,589.3,-2.03,531.95,533.49,74.83,11.996,585.14,478.75,539.0,1745800,836045,611.9,309.01,6,"Volume_Surge, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:31:01
FIX,989.48,-1.2,947.03,907.01,61.97,3.7529,1019.23,874.83,885.52,647700,558035,1036.67,275.8,6,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:31:12
BAC,53.9,-0.09,52.65,51.85,73.44,0.0592,54.71,50.59,51.77,34381900,35205160,54.83,32.53,6,"Golden_Cross, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:31:15
WFC,90.06,0.26,85.88,84.47,78.09,0.4972,90.51,81.25,84.03,13267300,13542240,91.11,57.46,6,"Golden_Cross, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:31:15
GS,866.69,1.42,806.31,787.95,81.73,13.3761,863.65,748.97,786.54,2236900,2071790,870.56,432.73,6,"Golden_Cross, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:31:16
MS,176.83,0.18,166.74,162.34,81.04,2.4673,178.25,155.23,160.87,7270700,5677960,178.96,92.37,6,"Golden_Cross, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:31:16
BK,114.44,0.37,110.56,108.48,86.84,1.0093,115.83,105.28,107.85,3061700,3125640,114.99,69.31,6,"Golden_Cross, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:31:18
PNC,197.65,-0.11,188.87,187.42,88.31,4.9672,201.02,176.72,188.96,2245200,1846405,206.9,141.09,6,"Golden_Cross, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:31:18
USB,51.41,0.29,48.43,47.65,93.42,1.3651,52.05,44.81,47.94,7502700,7531250,51.91,34.43,6,"Golden_Cross, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:31:19
XOM,115.98,-0.48,116.94,114.38,43.75,0.0522,119.52,114.36,114.06,14900400,14582670,119.76,95.18,6,"Golden_Cross, RSI_Normal, RSI_Bounce, Near_52W_High, From_Low_Rebound, BB_Oversold_Bounce",2025-12-09 03:31:23
MPC,189.66,-0.46,193.24,190.76,41.82,-1.486,200.16,186.32,189.35,2258600,1979070,201.29,113.25,6,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound, BB_Oversold_Bounce, Strong_Rebound",2025-12-09 03:31:26
PSX,139.06,-0.22,137.15,134.3,55.42,-0.1786,142.35,131.95,133.76,2525900,2206145,142.53,88.51,6,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:31:26
VLO,173.56,-0.33,176.65,169.7,45.06,-0.1014,183.05,170.25,168.42,2040400,2742220,184.46,96.76,6,"Golden_Cross, RSI_Normal, From_Low_Rebound, BB_Oversold_Bounce, Above_VWAP, Strong_Rebound",2025-12-09 03:31:27
CNX,40.73,-0.42,38.06,34.96,85.3,1.6744,41.16,34.96,33.72,2047400,1652190,42.13,27.0,6,"Golden_Cross, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:31:30
CAT,596.5,-1.11,569.23,542.44,72.8,7.554,604.95,533.5,519.56,1820400,2410850,607.0,264.29,6,"Golden_Cross, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:31:33
RTX,171.52,0.25,172.92,170.51,42.91,-2.3196,178.92,166.92,167.48,3498200,4330475,180.6,110.77,6,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:31:35
GD,336.01,-0.39,341.39,340.91,42.57,-3.3335,351.2,331.58,337.09,1433300,1078380,360.5,235.63,6,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound, BB_Oversold_Bounce, Strong_Rebound",2025-12-09 03:31:38
HWM,193.64,1.39,200.51,197.95,40.29,-3.5715,210.4,190.62,196.17,2658300,2152445,211.83,104.84,6,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound, BB_Oversold_Bounce, Strong_Rebound",2025-12-09 03:31:39
EW,84.32,-2.17,85.32,80.89,48.61,0.5687,87.26,83.38,79.51,3578600,3495605,87.89,65.94,6,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound, BB_Oversold_Bounce, Above_VWAP",2025-12-09 03:31:42
K,83.44,0.36,82.94,82.57,90.61,0.1902,83.33,82.55,81.28,3754300,2691320,83.47,75.95,6,"Golden_Cross, Near_52W_High, BB_Oversold_Bounce, BB_Breakout, Above_VWAP, New_52W_High",2025-12-09 03:31:49
MNST,73.94,0.27,72.99,70.16,61.29,2.3062,76.29,69.68,68.89,4050600,5432805,76.28,45.7,6,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:31:55
TJX,153.72,0.29,149.13,144.99,71.46,3.6994,155.03,143.23,144.33,5632800,6277910,154.66,111.06,6,"Golden_Cross, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:31:58
GM,75.71,-0.45,71.76,66.43,87.18,1.9162,76.9,66.61,65.34,10017000,9047595,77.0,41.28,6,"Golden_Cross, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:32:02
F,13.14,0.84,13.08,12.61,55.56,-0.0148,13.52,12.63,12.38,45555500,59415385,13.81,8.11,6,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:32:03
PLD,126.67,-1.02,126.09,122.98,64.33,1.7664,130.65,121.54,120.82,2805200,3591450,130.45,83.8,6,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:32:04
WELL,200.88,-1.68,199.47,185.46,56.98,7.0386,210.16,188.77,181.14,3807800,3336100,209.05,120.99,6,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:32:08
FOX,61.26,0.61,59.13,56.55,73.46,0.1849,61.18,57.09,55.76,1232400,1497790,61.66,42.96,6,"Golden_Cross, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:32:17
FOXA,69.21,1.18,65.96,63.01,78.84,0.5336,68.61,63.3,62.34,4501600,3302185,69.63,45.36,6,"Golden_Cross, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:32:18
APH,140.06,0.5,137.76,133.06,63.01,-0.0728,145.7,129.82,129.76,3870100,7939275,144.37,56.27,6,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:32:28
SEMI,32.69,0.47,31.83,31.94,65.63,-0.1298,33.23,30.43,31.99,8200,10480,33.77,18.71,6,"RSI_Normal, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:32:29
AKAM,85.32,2.19,87.89,80.27,43.73,2.7249,91.43,84.35,82.06,2208400,4230255,103.75,67.51,6,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound, BB_Oversold_Bounce, Above_VWAP",2025-12-09 03:32:31
AMZN,226.89,-1.15,231.72,228.53,42.99,-6.8399,248.71,214.74,229.26,34893100,42980885,258.6,161.38,5,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound, Strong_Rebound",2025-12-09 03:30:27
WMT,113.56,-1.35,107.21,105.15,71.66,4.4514,117.24,97.18,104.94,22695100,22573990,116.27,79.43,5,"Golden_Cross, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:30:30
MCD,309.79,-0.46,305.44,302.42,57.92,3.2821,312.95,297.92,302.35,3574500,3286710,320.72,270.23,5,"Golden_Cross, RSI_Normal, Near_52W_High, BB_Breakout, Above_VWAP",2025-12-09 03:30:34
INTC,40.3,-2.68,37.82,37.72,64.58,0.9327,44.01,31.63,35.62,93648500,85529390,44.02,17.67,5,"Golden_Cross, RSI_Normal, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:30:36
MU,246.92,4.09,233.41,215.86,52.18,-3.9512,259.19,207.64,200.28,20427700,26083955,260.58,61.44,5,"Golden_Cross, RSI_Normal, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:30:39
AMD,221.11,1.44,225.0,225.76,38.47,-16.3115,256.45,193.54,215.22,30751200,48109180,267.08,76.48,5,"RSI_Normal, RSI_Bounce, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:30:41
AVGO,401.1,2.78,367.84,356.87,71.51,15.3589,412.96,322.72,355.94,30359500,23214925,407.29,137.54,5,"Golden_Cross, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:30:42
AMAT,268.16,0.06,242.16,231.29,75.31,10.9485,278.24,206.09,218.56,5337100,8307085,273.59,122.8,5,"Golden_Cross, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:30:44
NEE,80.55,-3.1,84.19,82.83,29.07,0.5219,86.62,81.75,80.33,18132500,10267215,86.94,60.35,5,"Golden_Cross, Volume_Surge, From_Low_Rebound, BB_Oversold_Bounce, Strong_Rebound",2025-12-09 03:30:48
SBNY,0.84,7.69,0.65,0.65,71.11,0.0287,0.79,0.52,0.69,565000,265495,1.7,0.0,5,"Volume_Surge, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:31:05
HIG,129.73,0.23,133.29,129.78,44.24,2.5316,138.17,128.42,129.75,1412800,1475620,138.03,103.19,5,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound, BB_Oversold_Bounce",2025-12-09 03:31:07
TPR,117.27,0.83,106.99,110.23,77.56,3.2976,117.48,96.5,108.83,3492100,3180160,118.47,57.71,5,"Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:31:14
COF,230.59,-0.04,216.15,215.55,96.13,2.5877,236.14,196.16,216.43,3397600,4029440,233.04,141.84,5,"Golden_Cross, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:31:19
AXP,362.28,-2.18,359.83,350.51,70.4,0.6978,380.37,339.3,346.15,2580500,2534700,377.23,219.32,5,"Golden_Cross, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:31:20
CME,270.42,-0.17,277.19,271.36,36.05,0.4397,285.25,269.13,269.6,1565900,2021440,288.09,221.44,5,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound, BB_Oversold_Bounce",2025-12-09 03:31:21
RRC,37.68,-4.85,38.61,37.77,47.69,0.5076,40.04,37.18,37.18,4653500,2926970,43.39,30.17,5,"Golden_Cross, RSI_Normal, Volume_Surge, From_Low_Rebound, BB_Oversold_Bounce",2025-12-09 03:31:30
DVN,37.57,0.27,36.15,34.4,71.48,1.4403,38.45,33.85,34.54,8555100,8288550,38.27,25.53,5,"Golden_Cross, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:31:31
MMM,163.96,-2.1,168.65,162.85,47.18,2.0259,173.87,163.43,161.21,3253400,2897315,174.69,120.31,5,"Golden_Cross, RSI_Normal, From_Low_Rebound, BB_Oversold_Bounce, Strong_Rebound",2025-12-09 03:31:34
NOC,553.56,0.84,558.84,582.46,44.2,-3.9276,572.88,544.8,580.74,704900,777140,638.31,418.96,5,"RSI_Normal, RSI_Bounce, From_Low_Rebound, BB_Oversold_Bounce, Strong_Rebound",2025-12-09 03:31:37
EMR,135.93,-1.06,130.63,131.39,68.55,0.5459,137.94,123.31,131.48,2536200,2320175,149.03,88.93,5,"RSI_Normal, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:31:40
DOV,191.28,0.1,184.27,176.12,81.89,3.2379,192.61,175.93,174.69,948700,1101490,219.84,141.82,5,"Golden_Cross, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:31:42
ROK,402.22,-0.51,387.05,366.43,75.17,9.9827,411.22,362.88,364.69,823700,1101985,406.49,212.49,5,"Golden_Cross, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:31:43
KO,70.25,0.36,71.07,69.0,50.48,0.9046,72.78,69.35,68.47,17742300,16567340,72.91,58.88,5,"Golden_Cross, RSI_Normal, Near_52W_High, BB_Oversold_Bounce, Above_VWAP",2025-12-09 03:31:45
PII,66.67,-1.16,64.46,64.44,64.09,0.6397,68.59,60.33,63.02,695700,834080,74.49,29.73,5,"Golden_Cross, RSI_Normal, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:31:51
MAR,287.82,-1.63,293.55,277.63,55.8,9.0668,310.91,276.18,274.87,1569900,1487290,309.43,203.87,5,"Golden_Cross, RSI_Normal, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:32:00
DAL,67.22,0.18,61.45,59.74,88.46,3.069,69.62,53.27,59.59,9223700,7706425,69.15,34.41,5,"Golden_Cross, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:32:04
SEE,41.57,-0.41,41.54,37.49,48.47,2.2979,45.85,37.24,38.31,3217400,3700285,44.06,22.4,5,"Golden_Cross, RSI_Normal, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:32:19
TECH,60.29,-2.25,61.36,61.06,55.2,1.8563,66.56,56.15,58.65,2069300,1839100,78.83,45.8,5,"Golden_Cross, RSI_Normal, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:32:21
NVRI,18.22,0.0,15.99,13.8,90.15,2.7191,21.05,10.93,14.52,1353800,2618350,18.74,4.72,5,"Golden_Cross, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:32:30
MSFT,491.02,1.63,490.44,506.65,41.22,-11.9777,515.39,465.48,505.98,21904800,25333510,553.5,342.95,4,"RSI_Normal, RSI_Bounce, From_Low_Rebound, Strong_Rebound",2025-12-09 03:30:26
TSLA,439.58,-3.39,423.57,435.2,64.67,-1.971,463.26,383.88,427.94,68911900,78447215,488.54,214.25,4,"RSI_Normal, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:30:28
PG,138.34,-3.56,146.78,148.51,33.3,-0.414,151.83,141.73,149.46,17486200,10146170,176.43,138.14,4,"RSI_Normal, RSI_Bounce, Volume_Surge, BB_Oversold_Bounce",2025-12-09 03:30:31
NFLX,96.79,-3.44,108.01,112.67,31.42,-3.6977,118.11,97.91,113.1,100206800,45100120,134.12,82.11,4,"RSI_Normal, RSI_Bounce, Volume_Surge, BB_Oversold_Bounce",2025-12-09 03:30:36
QCOM,175.31,0.29,168.84,168.98,66.03,-2.4443,179.31,158.37,170.74,6688900,8798090,204.9,118.79,4,"RSI_Normal, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:30:41
MCHP,67.35,2.34,55.17,60.04,87.08,0.4645,66.4,43.95,60.38,8146000,9864550,75.98,33.33,4,"From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:30:44
AEP,115.73,-1.54,121.03,118.24,22.95,-0.5434,125.51,116.55,116.21,3422900,3533970,124.8,86.88,4,"Golden_Cross, From_Low_Rebound, BB_Oversold_Bounce, Strong_Rebound",2025-12-09 03:30:51
EVRG,73.34,0.08,75.58,76.16,33.9,-0.2968,78.06,73.09,75.12,1865300,1794270,78.59,57.4,4,"RSI_Normal, RSI_Bounce, From_Low_Rebound, BB_Oversold_Bounce",2025-12-09 03:30:58
VRSN,250.95,0.57,250.28,254.19,52.36,2.9968,254.91,245.66,257.58,628600,990715,308.75,189.47,4,"RSI_Normal, From_Low_Rebound, BB_Breakout, Strong_Rebound",2025-12-09 03:30:58
ALL,200.87,-0.69,208.81,203.36,32.12,3.554,215.94,201.68,203.55,2049900,1626015,214.88,173.06,4,"Golden_Cross, RSI_Normal, RSI_Bounce, BB_Oversold_Bounce",2025-12-09 03:31:07
LEG,11.03,-1.25,9.88,9.36,77.97,0.8747,12.15,7.6,9.61,2018400,2267665,12.03,6.41,4,"Golden_Cross, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:31:10
CLOW,0.02,-15.38,0.02,0.02,69.23,0.0013,0.02,0.01,0.02,100,665,0.06,0.02,4,"RSI_Normal, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:31:12
SOFI,27.61,-0.61,28.33,28.19,52.37,-0.4724,32.02,24.63,28.14,65211200,74473755,32.73,8.6,4,"Golden_Cross, RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:31:22
DASH,225.43,0.19,205.02,237.87,60.69,-4.601,229.5,180.54,229.74,5328900,7077100,285.5,155.4,4,"RSI_Normal, From_Low_Rebound, BB_Breakout, Strong_Rebound",2025-12-09 03:31:23
COP,92.88,-0.86,89.34,89.07,64.63,0.901,93.59,85.1,89.97,7974900,6742940,103.48,77.84,4,"Golden_Cross, RSI_Normal, BB_Breakout, Above_VWAP",2025-12-09 03:31:25
FANG,157.52,-0.68,150.48,145.43,73.83,4.8934,161.01,139.95,143.69,1200700,1600190,175.92,111.64,4,"Golden_Cross, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:31:27
BA,206.27,2.17,192.14,204.58,63.75,-1.9094,209.37,174.9,207.02,8682500,9197845,242.69,128.88,4,"RSI_Normal, From_Low_Rebound, BB_Breakout, Strong_Rebound",2025-12-09 03:31:32
GE,287.19,1.14,296.38,300.3,39.36,-7.9052,313.17,279.58,298.13,4139700,4218990,316.67,158.62,4,"RSI_Normal, RSI_Bounce, From_Low_Rebound, Strong_Rebound",2025-12-09 03:31:33
CL,76.11,-2.51,78.9,78.18,38.77,0.5571,81.05,76.74,78.58,6302900,6139190,98.37,74.55,4,"Golden_Cross, RSI_Normal, RSI_Bounce, BB_Oversold_Bounce",2025-12-09 03:31:47
ARE,44.97,-1.12,51.09,63.38,32.68,-1.7665,56.98,45.2,62.91,5997500,3084455,100.81,44.1,4,"RSI_Normal, RSI_Bounce, Volume_Surge, BB_Oversold_Bounce",2025-12-09 03:32:10
XRT,85.84,-0.45,81.97,83.1,77.46,1.7783,87.73,76.2,83.59,5188700,5100230,89.31,61.1,4,"Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:32:12
KRG,22.16,-2.12,22.59,22.34,52.82,0.2435,23.26,21.91,22.24,2175500,1638000,25.73,18.08,4,"Golden_Cross, RSI_Normal, From_Low_Rebound, BB_Oversold_Bounce",2025-12-09 03:32:13
BIO,308.53,-2.88,316.41,312.81,53.51,4.3761,333.21,299.62,306.76,134000,169510,373.69,211.43,4,"Golden_Cross, RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:32:22
HUT,42.93,1.18,40.19,43.4,58.59,-1.6766,47.44,32.94,41.95,2731300,6852345,57.29,10.04,4,"RSI_Normal, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:32:27
PSTG,71.04,0.87,82.34,88.12,38.46,-5.2408,97.02,67.66,85.0,4993700,5239560,100.59,34.51,4,"RSI_Normal, RSI_Bounce, From_Low_Rebound, Strong_Rebound",2025-12-09 03:32:30
PEGA,60.41,0.5,56.17,57.88,72.43,-1.6228,61.13,51.21,58.75,1239100,1139085,68.1,29.8,4,"From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:32:32
NVDA,185.55,1.72,184.34,187.23,48.88,-6.3822,196.12,172.56,185.15,201696500,209028650,212.18,86.6,3,"RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:30:27
META,666.8,-0.98,626.04,673.83,73.45,9.626,677.77,574.31,676.22,13091600,19106520,795.71,479.11,3,"From_Low_Rebound, BB_Breakout, Strong_Rebound",2025-12-09 03:30:27
DIS,107.63,2.21,106.48,109.73,55.23,-2.9772,114.2,98.77,110.21,13700700,13229875,124.69,79.76,3,"RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:30:33
CRM,259.53,-0.4,238.03,243.9,68.62,-3.9422,258.31,217.75,244.37,10785600,8560355,365.3,221.96,3,"RSI_Normal, BB_Breakout, Above_VWAP",2025-12-09 03:30:35
ORCL,220.54,1.36,214.31,253.28,50.49,-16.2974,239.67,188.94,271.74,24614000,24215825,345.12,117.98,3,"RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:30:38
SHOP,158.41,-1.66,153.2,158.46,68.75,0.4024,167.75,138.66,156.27,4733800,8467925,182.19,69.84,3,"RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:30:40
CDNS,337.29,-0.07,316.0,329.08,71.29,-2.3328,341.51,290.49,335.36,1023500,1714425,376.45,221.56,3,"From_Low_Rebound, BB_Breakout, Strong_Rebound",2025-12-09 03:30:45
PNW,87.32,-0.96,88.94,89.56,37.36,0.2563,90.64,87.25,88.72,1546100,1385645,93.67,78.26,3,"RSI_Normal, RSI_Bounce, BB_Oversold_Bounce",2025-12-09 03:30:56
AWK,128.46,-0.8,130.07,133.97,39.09,0.5693,133.15,126.98,133.26,2255700,2239200,152.71,115.89,3,"RSI_Normal, RSI_Bounce, BB_Oversold_Bounce",2025-12-09 03:30:56
NRG,164.11,0.68,165.48,166.82,50.91,-1.7819,171.26,159.69,165.99,1358400,1828890,180.08,78.84,3,"RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:30:57
ROP,446.71,-0.19,445.71,469.61,54.92,-1.3488,452.44,438.99,477.53,800800,814695,592.47,435.42,3,"RSI_Normal, BB_Oversold_Bounce, BB_Breakout",2025-12-09 03:30:59
DECK,101.21,1.51,87.34,91.39,84.65,4.673,100.19,74.48,94.03,3679800,3560820,223.98,78.91,3,"From_Low_Rebound, BB_Breakout, Above_VWAP",2025-12-09 03:31:00
KBH,62.39,-1.48,61.81,61.79,63.35,1.5609,66.72,56.9,62.39,1013400,796955,78.47,48.27,3,"Golden_Cross, RSI_Normal, From_Low_Rebound",2025-12-09 03:31:02
DHI,152.43,-3.9,149.44,153.41,65.74,5.9135,167.09,131.79,157.23,3228900,3022640,183.98,109.46,3,"RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:31:03
UNM,72.82,-1.98,75.71,75.96,31.5,-0.7826,78.42,72.99,75.68,1793100,1204070,83.05,65.68,3,"RSI_Normal, RSI_Bounce, BB_Oversold_Bounce",2025-12-09 03:31:05
PGR,223.16,0.12,225.0,225.77,44.71,5.2514,231.1,218.9,227.39,2756600,3043655,292.65,199.9,3,"RSI_Normal, RSI_Bounce, BB_Oversold_Bounce",2025-12-09 03:31:06
BLK,1062.02,-0.95,1043.42,1095.45,64.25,-10.5172,1101.86,984.98,1101.87,612600,638305,1214.03,762.34,3,"RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:31:17
ICE,157.03,-0.5,154.44,155.44,65.38,3.2666,159.79,149.08,158.1,5387600,3507485,188.82,141.12,3,"RSI_Normal, Volume_Surge, BB_Breakout",2025-12-09 03:31:21
COIN,274.2,1.66,271.03,315.27,54.84,-19.7217,311.62,230.44,316.63,5917400,10071770,444.65,142.58,3,"RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:31:22
