Ticker,Price,Change_%,SMA_20,SMA_50,RSI,MACD,BB_Upper,BB_Lower,BB_Width,VWAP,Volume,Avg_Vol,Vol_Ratio,52W_High,52W_Low,20D_High,Signals,Signal_List,Time
AVGO,401.1,2.78,367.84,356.87,71.51,2.692,412.96,322.72,24.53,355.94,30359500,23214925,1.31,407.29,137.54,407.29,6,"均線多頭, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:40
NVDA,185.55,1.72,184.34,187.23,48.88,0.2102,196.12,172.56,12.78,185.15,201696500,209028650,0.96,212.18,86.6,199.93,5,"RSI反彈, MACD翻正, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:39
WMT,113.56,-1.35,107.21,105.15,71.66,0.9703,117.24,97.18,18.71,104.94,22695100,22573990,1.01,116.27,79.43,116.27,5,"均線多頭, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:39
QCOM,175.31,0.29,168.84,168.98,66.03,1.1244,179.31,158.37,12.4,170.74,6688900,8798090,0.76,204.9,118.79,177.92,5,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:40
MCHP,67.35,2.34,55.17,60.04,87.08,2.1694,66.4,43.95,40.7,60.38,8146000,9864550,0.83,75.98,33.33,67.42,5,"MACD加速, 接近20日高, 從低點反彈, 突破布林上軌, 站上VWAP",2025-12-09 05:40
AMAT,268.16,0.06,242.16,231.29,75.31,3.0229,278.24,206.09,29.79,218.56,5337100,8307085,0.64,273.59,122.8,273.59,5,"均線多頭, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:40
MSFT,491.02,1.63,490.44,506.65,41.22,0.8708,515.39,465.48,10.18,505.98,21904800,25333510,0.86,553.5,342.95,512.54,4,"RSI反彈, MACD加速, 從低點反彈, 布林帶強勢",2025-12-09 05:39
TSLA,439.58,-3.39,423.57,435.2,64.67,4.2799,463.26,383.88,18.74,427.94,68911900,78447215,0.88,488.54,214.25,458.87,4,"RSI強勢, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:39
DIS,107.63,2.21,106.48,109.73,55.23,0.4264,114.2,98.77,14.49,110.21,13700700,13229875,1.04,124.69,79.76,117.09,4,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢",2025-12-09 05:39
CRM,259.53,-0.4,238.03,243.9,68.62,3.5841,258.31,217.75,17.04,244.37,10785600,8560355,1.26,365.3,221.96,264.28,4,"RSI強勢, MACD加速, 突破布林上軌, 站上VWAP",2025-12-09 05:39
ORCL,220.54,1.36,214.31,253.28,50.49,3.6369,239.67,188.94,23.67,271.74,24614000,24215825,1.02,345.12,117.98,247.24,4,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢",2025-12-09 05:39
SHOP,158.41,-1.66,153.2,158.46,68.75,1.2679,167.75,138.66,18.99,156.27,4733800,8467925,0.56,182.19,69.84,163.77,4,"RSI強勢, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:40
CDNS,337.29,-0.07,316.0,329.08,71.29,4.7841,341.51,290.49,16.15,335.36,1023500,1714425,0.6,376.45,221.56,341.04,4,"MACD加速, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:40
ADSK,301.39,-1.74,298.88,304.59,61.39,1.5698,312.35,285.41,9.01,308.51,1667800,1601795,1.04,329.09,232.67,320.0,4,"RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢",2025-12-09 05:40
NOW,853.52,-0.1,832.88,880.87,56.55,7.0239,874.35,791.41,9.96,893.22,1546200,1408975,1.1,1198.09,678.66,871.98,4,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢",2025-12-09 05:40
ADBE,339.12,-2.06,326.53,336.91,60.22,3.0333,343.24,309.82,10.23,343.25,4288500,3700810,1.16,557.9,311.59,348.59,3,"RSI強勢, MACD加速, 布林帶強勢",2025-12-09 05:39
AMD,221.11,1.44,225.0,225.76,38.47,-0.7549,256.45,193.54,27.96,215.22,30751200,48109180,0.64,267.08,76.48,263.51,3,"RSI反彈, 從低點反彈, 站上VWAP",2025-12-09 05:40
SNPS,465.75,-0.22,414.88,438.16,86.58,10.485,476.82,352.94,29.86,441.49,2171800,2045640,1.06,651.73,365.74,471.12,3,"從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:40
AMZN,226.89,-1.15,231.72,228.53,42.99,-0.384,248.71,214.74,14.66,229.26,34893100,42980885,0.81,258.6,161.38,251.75,2,"RSI反彈, 從低點反彈",2025-12-09 05:39
META,666.8,-0.98,626.04,673.83,73.45,10.3295,677.77,574.31,16.53,676.22,13091600,19106520,0.69,795.71,479.11,676.71,2,"從低點反彈, 布林帶強勢",2025-12-09 05:39
PG,138.34,-3.56,146.78,148.51,33.3,-0.6754,151.83,141.73,6.88,149.46,17486200,10146170,1.72,176.43,138.14,151.5,2,"RSI反彈, 成交量激增",2025-12-09 05:39
NFLX,96.79,-3.44,108.01,112.67,31.42,-0.7838,118.11,97.91,18.7,113.1,100206800,45100120,2.22,134.12,82.11,116.73,2,"RSI反彈, 成交量激增",2025-12-09 05:39
ADP,258.69,-1.12,254.68,269.06,62.8,1.9887,261.85,247.52,5.63,272.62,2584200,2203400,1.17,326.59,247.18,262.76,2,"RSI強勢, 布林帶強勢",2025-12-09 05:40
