Ticker,Price,Change_%,Risk_Score,Volatility_%,SMA_20,SMA_50,RSI,MACD,BB_Width,VWAP,Volume,Avg_Vol,Vol_Ratio,52W_High,52W_Low,Signals,Signal_List,Time
MRVL,88.9,-3.37,61,55.7,87.84,87.96,61.5,0.6411,30.6,85.06,22406998,21431604,1.05,127.15,46.97,4,"RSI強勢, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
MRK,96.89,-2.06,61,33.0,98.12,91.09,51.0,-0.6497,18.7,89.6,16272660,16173363,1.01,105.84,71.87,4,"RSI強勢, 接近52週高, 從低點反彈, 站上VWAP",2025-12-10 00:21
BMY,50.65,-1.97,61,30.9,48.75,46.34,66.1,0.2675,16.3,45.97,12703756,15373397,0.83,61.0,42.38,4,"均線多頭, RSI強勢, 布林帶強勢, 站上VWAP",2025-12-10 00:21
VLO,175.32,1.01,61,31.3,176.51,169.79,36.2,-0.7102,7.2,168.69,2021510,2736000,0.74,184.46,96.76,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-10 00:21
C,109.43,0.47,63,23.3,102.59,100.09,82.0,0.8892,15.0,100.12,13860508,11691810,1.19,110.25,54.39,6,"均線多頭, 接近20日高, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
WMT,115.06,1.32,63,22.7,107.84,105.39,78.0,0.8646,19.2,105.16,22463572,22972068,0.98,116.27,79.43,5,"均線多頭, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
LYFT,21.78,-3.16,64,59.2,21.81,21.15,50.6,0.1133,27.4,21.38,9739915,15108980,0.64,25.54,9.66,3,"RSI強勢, 從低點反彈, 站上VWAP",2025-12-10 00:21
CAT,594.36,-0.36,65,34.4,570.4,544.92,75.1,1.7364,13.1,521.24,1754313,2407175,0.73,607.0,264.29,5,"均線多頭, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
MS,178.83,1.13,68,23.0,167.43,162.71,82.1,1.3317,15.1,161.24,3465902,5600535,0.62,180.65,92.37,6,"均線多頭, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
GOOG,317.75,1.05,68,29.2,304.59,277.91,71.9,-0.4945,21.9,275.92,13999046,28345397,0.49,328.46,142.27,5,"均線多頭, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
TXN,179.52,-0.78,68,30.0,166.62,168.98,76.8,2.5338,23.8,170.58,3759490,7227884,0.52,218.15,136.55,3,"從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
MPWR,962.95,-2.1,68,47.4,924.08,967.5,74.9,9.4741,16.2,951.51,422119,614010,0.69,1123.38,437.16,3,"從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
CRM,261.02,0.57,68,33.0,239.0,244.22,73.6,3.9078,19.0,244.43,7246971,8599363,0.84,365.3,221.96,3,"MACD加速, 布林帶強勢, 站上VWAP",2025-12-10 00:21
REGN,692.58,-1.52,68,40.4,726.52,651.15,42.1,-10.9914,19.1,636.95,603675,1148748,0.53,790.98,475.17,3,"RSI反彈, 從低點反彈, 站上VWAP",2025-12-10 00:21
GS,876.58,1.14,70,24.1,810.48,789.48,82.8,8.0391,16.0,788.82,2262568,2100068,1.08,883.72,432.73,7,"均線多頭, MACD加速, 接近20日高, 接近52週高, 從低點反彈, 突破布林上軌, 站上VWAP",2025-12-10 00:21
